time,price,dividend,return
02-01-2000,107,,
03-01-2000,109.5,,
04-03-2000,94.5,,
05-01-2000,83,,
06-01-2000,93.1875,,
07-03-2000,89.5,,
08-01-2000,101.875,,
09-01-2000,88.6875,,
10-02-2000,81.70312,,
11-01-2000,62.98437,,
12-01-2000,58.375,,
01-02-2001,64.3,,
02-01-2001,47.45,,
03-01-2001,39.14999,,
04-02-2001,46.14999,,
05-01-2001,44.73,,
06-01-2001,45.7,,
07-02-2001,41.75999,,
08-01-2001,36.63,,
09-04-2001,28.98,,
10-01-2001,33.89999,,
11-01-2001,39.64999,,
12-03-2001,38.91,,
01-02-2002,38.50999,,
02-01-2002,33.78,,
03-01-2002,36.06,,
04-01-2002,31.73,,
05-01-2002,30.03999,,
06-03-2002,26.10001,,
07-01-2002,23.85001,,
08-01-2002,23.49001,,
09-03-2002,20.72,,
10-01-2002,24.55,,
11-01-2002,27.72,,
12-02-2002,24.37,,
01-02-2003,24.44,,
02-03-2003,25.16,,
03-03-2003,25.25,,
04-01-2003,27.45,,
05-01-2003,29.78999,,
06-02-2003,29.95,,
07-01-2003,31.8,,
08-01-2003,33.39,,
09-02-2003,32.42,,
10-01-2003,35.17999,,
11-03-2003,35.38,,
12-01-2003,36.46001,,
01-02-2004,37.07001,,
02-02-2004,36.57001,,
03-01-2004,35.84,,
04-01-2004,34.77,,
05-03-2004,36.55,,
06-01-2004,37.74001,,
07-01-2004,34.89,,
08-02-2004,34.02,,
09-01-2004,35.14,,
10-01-2004,36.89999,,
11-01-2004,39.12199,,
12-01-2004,39.91499,,
01-03-2005,37.39999,,
02-01-2005,37.22,,
03-01-2005,36.57001,,
04-01-2005,34.98,,
05-02-2005,38.08,,
06-01-2005,36.78,,
07-01-2005,39.575,,
08-01-2005,38.98,,
09-01-2005,39.46001,,
10-03-2005,38.87,,
11-01-2005,41.24001,,
12-01-2005,40.412,,
01-03-2006,42,,
02-01-2006,41.10001,,
03-01-2006,41.92999,,
04-03-2006,41.85001,,
05-01-2006,38.82001,,
06-01-2006,38.77,,
07-03-2006,37.10001,,
08-01-2006,38.87,,
09-01-2006,40.64999,,
10-02-2006,42.58,,
11-01-2006,44.03999,,
12-01-2006,43.16,,
01-03-2007,44.07001,,
02-01-2007,43.33,,
03-01-2007,43.53,,
04-02-2007,45.96001,,
05-01-2007,47.41,,
06-01-2007,47.60001,,
07-02-2007,47.53,,
08-01-2007,48.87,,
09-04-2007,51.41,,
10-01-2007,55.03,,
11-01-2007,51.31,,
12-03-2007,51.22,,
01-02-2008,45.13,,
02-01-2008,42.95,,
03-03-2008,43.72,,
04-01-2008,47.21001,,
05-01-2008,50.00999,,
06-02-2008,45.17,,
07-01-2008,45.46001,,
08-01-2008,46.12,,
09-02-2008,38.91,,
10-01-2008,32.89,,
11-03-2008,29.12,,
12-01-2008,29.74001,,
01-02-2009,29.06,,
02-02-2009,27.53,,
03-02-2009,30.32001,,
04-01-2009,34.28,,
05-01-2009,35.38,,
06-01-2009,36.38,,
07-01-2009,39.45,,
08-03-2009,40.03,,
09-01-2009,42.25,,
10-01-2009,40.96001,,
11-02-2009,43.56,,
12-01-2009,45.75,,
01-04-2010,42.78999,,
02-01-2010,44.75999,,
03-01-2010,48.16,,
04-01-2010,49.2375,,
05-03-2010,45.60001,,
06-01-2010,42.71001,,
07-01-2010,45.81,,
08-02-2010,43.46001,,
09-01-2010,49.07001,,
10-01-2010,52.17999,,
11-01-2010,52.08501,,
12-01-2010,54.46001,,
01-03-2011,56,,
02-01-2011,57.76891,,
03-01-2011,57.42999,,
04-01-2011,59.08,,
05-02-2011,58.36,,
06-01-2011,57.05,,
07-01-2011,58,,
08-01-2011,55.06,,
09-01-2011,52.49001,,
10-03-2011,57.95,,
11-01-2011,56.39,,
12-01-2011,55.83,,
01-03-2012,60.53,,
02-01-2012,64.41,,
