time,price,dividend,return
4/2/07,75.49001,,
5/1/07,74.77,,
6/1/07,74.28,,
7/2/07,74.73,,
8/1/07,75.53,,
9/4/07,75.69,,
10/1/07,76.10001,,
11/1/07,77.302,,
12/3/07,77.38,,
1/2/08,78.35001,,
2/1/08,78.12,,
3/3/08,78.14,,
4/1/08,77.57001,,
5/1/08,76.5,,
6/2/08,76.25,,
7/1/08,75.97,,
8/1/08,76.3,,
9/2/08,75.62,,
10/1/08,73.127,,
11/3/08,75.69,,
12/1/08,78.97,,
1/2/09,77.33,,
2/2/09,76.59,,
3/2/09,77.14999,,
4/1/09,77.2299,,
5/1/09,77.48,,
6/1/09,77.69,,
7/1/09,78.44,,
8/3/09,78.97,,
9/1/09,79.5,,
10/1/09,79.47,,
11/2/09,80.25,,
12/1/09,78.59,,
1/4/10,79.60001,,
2/1/10,79.61,,
3/1/10,79.2,,
4/1/10,79.8,,
5/3/10,80.46001,,
6/1/10,81.38,,
7/1/10,81.85001,,
8/2/10,82.89,,
9/1/10,82.66,,
10/1/10,82.7,,
11/1/10,81.91,,
12/1/10,80.27,,
1/3/11,80.34,,
2/1/11,80.35001,,
3/1/11,80.02,,
4/1/11,80.96001,,
5/2/11,81.69,,
6/1/11,81.16,,
7/1/11,82.25999,,
8/1/11,83.39999,,
9/1/11,83.74001,,
10/3/11,83.62,,
11/1/11,83.36,,
12/1/11,83.53999,,
1/3/12,84.07001,,
2/1/12,83.89999,,
3/1/12,83.28,,
4/2/12,83.92,,
5/1/12,84.50999,,
6/1/12,84.38,,
7/2/12,85.23,,
8/1/12,85.17999,,
9/4/12,85.14999,,
10/1/12,84.89,,
11/1/12,84.94,,
12/3/12,84.03,,
1/2/13,83.45,,
2/1/13,83.73,,
3/1/13,83.64,,
4/1/13,84.17999,,
5/1/13,82.39999,,
6/3/13,80.88,,
7/1/13,81.02,,
8/1/13,80.16,,
9/3/13,80.88,,
10/1/13,81.4,,
11/1/13,80.98,,
12/2/13,80.05,,
1/2/14,81.29,,
2/3/14,81.5,,
3/3/14,81.19,,
4/1/14,81.65,,
5/1/14,82.33,,
6/2/14,82.22,,
7/1/14,81.82,,
8/1/14,82.58,,
9/2/14,81.93,,
10/1/14,82.36,,
11/3/14,82.87,,
12/1/14,82.37,,
1/2/15,84.35,,
2/2/15,83.08,,
3/2/15,83.37,,
4/1/15,82.91,,
5/1/15,82.34,,
6/1/15,81.26,,
7/1/15,81.81,,
8/3/15,81.44,,
9/1/15,81.93,,
10/1/15,81.79,,
11/2/15,81.3,,
12/1/15,80.76,,
1/4/16,81.73,,
2/1/16,82.25,,
3/1/16,82.805,,
4/1/16,82.97,,
5/2/16,82.8,,
6/1/16,84.3,,
7/1/16,84.64,,
8/1/16,84.21,,
9/1/16,84.14,,
10/3/16,83.19,,
11/1/16,80.89,,
12/1/16,80.79,,
1/3/17,80.94,,
2/1/17,81.27,,
3/1/17,81.08,,
4/3/17,81.55,,
5/1/17,81.96,,
6/1/17,81.83,,
7/3/17,81.99,,
8/1/17,82.52,,
9/1/17,81.96,,
10/2/17,81.77,,
11/1/17,81.51,,
12/1/17,81.57,,
1/2/18,80.56,,
2/1/18,79.55,,
3/1/18,79.93,,
4/2/18,79.05,,
5/1/18,79.41,,
6/1/18,79.19,,
7/2/18,78.98,,
8/1/18,79.32,,
9/4/18,78.7,,
10/1/18,77.84,,
11/1/18,78.14,,
12/3/18,79.21,,
1/2/19,80.09,,
2/1/19,79.82,,
3/1/19,81.18,,
4/1/19,80.96,,
5/1/19,82.24,,
6/3/19,83.07,,
7/1/19,83,,
8/1/19,85.1,,
9/3/19,84.43,,
10/1/19,84.51,,
11/1/19,84.29,,
12/2/19,83.86,,
1/2/20,85.52,,
2/3/20,86.76,,
3/2/20,85.35,,
4/1/20,87.51,,
5/1/20,87.92,,
6/1/20,88.34,,
7/1/20,89.46,,
8/3/20,88.46,,
9/1/20,88.22,,
10/1/20,87.58,,
11/2/20,88.49,,
12/1/20,88.19,,
1/4/21,87.43,,
2/1/21,85.94,,
3/1/21,84.72,,
4/1/21,85.26,,
5/3/21,85.26,,
6/1/21,85.89,,
7/1/21,86.76,,
8/2/21,86.46,,
9/1/21,85.45,,
10/1/21,85.38,,
11/1/21,85.42,,
12/1/21,84.75,,
1/3/22,83,,
2/1/22,81.92,,
3/1/22,79.54,,
4/1/22,76.19,,
5/2/22,76.68,,
6/1/22,75.26,,
7/1/22,76.9,,
8/1/22,74.6,,
9/1/22,71.33,,
10/3/22,70.35,,
11/1/22,72.76,,
12/1/22,71.84,,
1/3/23,74.22,,
2/1/23,72.07,,
3/1/23,73.83,,
4/3/23,74.08,,
5/1/23,73.04,,
6/1/23,72.69,,
7/3/23,72.42,,
8/1/23,71.75,,
9/1/23,69.78,,
10/2/23,68.53,,
11/1/23,71.43,,
12/1/23,73.55,,
1/2/24,73.43,,
2/1/24,72.22,,
3/1/24,72.63,,
4/1/24,70.67,,
5/1/24,71.64,,
6/3/24,72.05,,
7/1/24,73.52,,
8/1/24,74.36,,
9/3/24,75.11,,
10/1/24,73.05,,
11/1/24,73.6,,
12/2/24,71.91,,
1/2/25,71.93,,
